Date,SP500
01/1986,208.19409090909087
02/1986,219.3652631578947
03/1986,232.327
04/1986,237.9677272727273
05/1986,238.4590476190476
06/1986,245.2957142857143
07/1986,240.18000000000004
08/1986,245.00095238095244
09/1986,238.26904761904757
10/1986,237.35608695652175
11/1986,245.0926315789474
12/1986,248.60545454545453
01/1987,264.51095238095235
02/1987,280.9342105263158
03/1987,292.4713636363636
04/1987,289.3223809523809
05/1987,289.1155
06/1987,301.3840909090909
07/1987,310.0872727272727
08/1987,329.3580952380952
09/1987,318.6609523809523
10/1987,280.16318181818184
11/1987,245.00850000000005
12/1987,240.95499999999996
01/1988,250.47650000000004
02/1988,258.12800000000004
03/1988,265.73739130434785
04/1988,262.6125
05/1988,256.12380952380954
06/1988,270.6827272727273
07/1988,269.0495000000001
08/1988,263.7265217391305
09/1988,267.96999999999997
10/1988,277.3957142857143
11/1988,271.0242857142857
12/1988,276.51380952380947
01/1989,285.4133333333333
02/1989,294.01105263157893
03/1989,292.7131818181818
04/1989,302.2505
05/1989,313.8818181818182
06/1989,323.7277272727273
07/1989,331.924
08/1989,346.60782608695655
09/1989,347.3295
10/1989,347.39727272727276
11/1989,340.2190476190476
12/1989,348.572
01/1990,339.9713636363636
02/1990,330.4526315789473
03/1990,338.4649999999999
04/1990,338.178
05/1990,350.25
06/1990,360.38666666666677
07/1990,360.0309523809524
08/1990,330.74652173913046
09/1990,315.4068421052632
10/1990,307.1247826086957
11/1990,315.29095238095243
12/1990,328.7495
01/1991,325.4854545454545
02/1991,362.2631578947368
03/1991,372.2805
04/1991,379.6786363636364
05/1991,377.9922727272726
06/1991,378.293
07/1991,380.22681818181826
08/1991,389.40318181818196
09/1991,387.1985
10/1991,386.88347826086954
11/1991,385.9195000000001
12/1991,388.5104761904762
01/1992,416.07545454545453
02/1992,412.5573684210526
03/1992,407.3645454545454
04/1992,407.4071428571429
05/1992,414.81450000000007
06/1992,408.27409090909083
07/1992,415.05181818181813
08/1992,417.9276190476191
09/1992,418.4771428571429
10/1992,412.50272727272727
11/1992,422.84399999999994
12/1992,435.6395454545454
01/1993,435.22850000000005
02/1993,441.70368421052626
03/1993,450.15217391304355
04/1993,443.077619047619
05/1993,445.2465
06/1993,448.05954545454557
07/1993,447.2861904761905
08/1993,454.1277272727273
09/1993,459.23523809523823
10/1993,463.9
11/1993,462.89047619047625
12/1993,465.9454545454546
01/1994,472.99047619047633
02/1994,471.5799999999999
03/1994,463.80782608695654
04/1994,447.23210526315796
05/1994,450.89904761904756
06/1994,454.8259090909091
07/1994,451.40099999999995
08/1994,464.2439130434783
09/1994,466.9571428571427
10/1994,463.81285714285724
11/1994,461.0138095238096
12/1994,455.1880952380953
01/1995,465.2504761904761
02/1995,481.93263157894734
03/1995,493.1530434782608
04/1995,507.90842105263147
05/1995,523.8136363636363
06/1995,539.3540909090909
07/1995,557.3665
08/1995,559.1099999999999
09/1995,578.7655
10/1995,582.9190909090908
11/1995,595.532380952381
12/1995,614.5715
01/1996,614.4200000000001
02/1996,649.5425
03/1996,647.0747619047619
04/1996,647.1728571428571
05/1996,661.2309090909092
06/1996,668.4989999999999
07/1996,644.0704545454546
08/1996,662.6822727272727
09/1996,674.8840000000001
10/1996,701.4573913043478
11/1996,735.6690000000001
12/1996,743.2490476190478
01/1997,766.2168181818182
02/1997,798.3878947368421
03/1997,792.1555000000001
04/1997,763.9281818181819
05/1997,833.0890476190476
06/1997,876.285238095238
07/1997,925.2927272727273
08/1997,927.7357142857143
09/1997,937.0242857142858
10/1997,951.1595652173912
11/1997,938.9236842105265
12/1997,962.3659090909091
01/1998,963.359
02/1998,1023.742105263158
03/1998,1076.8254545454545
04/1998,1112.1966666666667
05/1998,1108.417
06/1998,1108.3909090909094
07/1998,1156.575909090909
08/1998,1074.6180952380953
09/1998,1020.6385714285713
10/1998,1032.4699999999998
11/1998,1144.431
12/1998,1190.0509090909093
01/1999,1248.774736842105
02/1999,1246.5805263157895
03/1999,1281.663043478261
04/1999,1334.757142857143
05/1999,1332.0740056152342
06/1999,1322.552734375
07/1999,1380.990001860119
08/1999,1327.488653009588
09/1999,1318.1719040643602
10/1999,1300.01
11/1999,1391.000952380952
12/1999,1428.6850000000002
01/2000,1425.5855
02/2000,1388.8734999999997
03/2000,1442.212608695652
04/2000,1461.355263157895
05/2000,1418.4795454545454
06/2000,1461.9563636363634
07/2000,1472.9864999999998
08/2000,1485.4591304347828
09/2000,1468.0539999999999
10/2000,1390.144090909091
11/2000,1375.0366666666666
12/2000,1330.9305
01/2001,1335.6285714285714
02/2001,1305.7515789473684
03/2001,1185.8500000000001
04/2001,1189.8375
05/2001,1270.3686363636364
06/2001,1238.712380952381
07/2001,1204.449523809524
08/2001,1178.505652173913
09/2001,1044.644
10/2001,1076.59
11/2001,1129.6833333333334
12/2001,1144.9305
01/2002,1140.2076190476191
02/2002,1100.668947368421
03/2002,1153.791
04/2002,1112.0345454545452
05/2002,1079.2672727272727
06/2002,1014.0479999999998
07/2002,903.5904545454545
08/2002,912.5531818181819
09/2002,867.8120000000001
10/2002,854.6313043478261
11/2002,909.9275
12/2002,899.1780952380951
01/2003,895.8366666666668
02/2003,837.6189473684211
03/2003,846.6214285714287
04/2003,890.0257142857141
05/2003,935.9628571428572
06/2003,987.9952380952382
07/2003,992.5368181818183
08/2003,989.5319047619047
09/2003,1019.4419047619049
10/2003,1038.7343478260868
11/2003,1049.9005263157894
12/2003,1080.6363636363637
01/2004,1132.5175
02/2004,1143.3563157894735
03/2004,1123.9791304347827
04/2004,1133.0785714285712
05/2004,1102.7814999999998
06/2004,1132.757142857143
07/2004,1105.8466666666666
08/2004,1088.935
09/2004,1117.6561904761907
10/2004,1118.0685714285717
11/2004,1168.9366666666665
12/2004,1199.2104545454545
01/2005,1181.408
02/2005,1199.626842105263
03/2005,1194.8977272727273
04/2005,1164.4233333333332
05/2005,1178.275714285714
06/2005,1202.2554545454543
07/2005,1222.237
08/2005,1224.2699999999998
09/2005,1225.9147619047621
10/2005,1191.9642857142858
11/2005,1237.3685714285714
12/2005,1262.0719047619048
01/2006,1278.7230000000004
02/2006,1276.6457894736843
03/2006,1293.7400000000002
04/2006,1302.1836842105265
05/2006,1290.0
06/2006,1253.1213636363636
07/2006,1260.2395000000001
08/2006,1287.1513043478262
09/2006,1317.8055
10/2006,1363.3845454545453
11/2006,1388.631904761905
12/2006,1416.4199999999998
01/2007,1424.161
02/2007,1444.7947368421053
03/2007,1406.9522727272729
04/2007,1463.6474999999996
05/2007,1511.136818181818
06/2007,1514.4895238095237
07/2007,1520.704761904762
08/2007,1454.616956521739
09/2007,1497.116315789474
10/2007,1539.6586956521737
11/2007,1463.3852380952383
12/2007,1479.2285
01/2008,1378.764285714286
02/2008,1354.8725
03/2008,1316.943
04/2008,1370.4690909090907
05/2008,1403.2176190476189
06/2008,1341.2509523809526
07/2008,1257.3263636363636
08/2008,1281.472380952381
09/2008,1217.0085714285715
10/2008,968.8008695652173
11/2008,883.0405263157895
12/2008,877.561818181818
01/2009,865.5755000000001
02/2009,805.2273684210526
03/2009,757.1268181818184
04/2009,848.1519047619047
05/2009,902.4084999999999
06/2009,926.1149999999999
07/2009,935.8213636363635
08/2009,1009.7247619047617
09/2009,1044.5523809523809
10/2009,1067.6636363636362
11/2009,1088.0690000000002
12/2009,1110.3777272727273
01/2010,1123.5815789473684
02/2010,1089.16
03/2010,1152.0486956521738
04/2010,1197.3161904761905
05/2010,1125.0635
06/2010,1083.3609090909092
07/2010,1079.8033333333333
